time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-08-26 11:00:00,SZ399903,中证100,4473.81,1.01,35474016512.0,1,-2,-1,1,282061173075.85,0.88,1.2,0.95,1.0558,79,21,79.0,145949531904.0,138232449024.0,166694705561.6,,1.01,-2.0,0
2026-08-26 11:00:00,SH000016,上证50,2907.12,1.1,20214838016.0,1,1,1,1,160578747766.52,0.9,1.3,0.99,1.0919,40,10,80.0,81198495744.0,74365672448.0,90104119296.0,,1.1,11.0,3
2026-08-26 10:30:00,SH000906,中证800,5127.16,0.69,124686162944.0,1,-2,-1,1,787436508503.9,0.82,0.85,0.83,0.9836,0,0,0.0,372859220992.0,379076501504.0,455316093337.6,,0.67,-6.0,0
2026-08-26 10:30:00,SH000016,上证50,2900.92,0.88,22663298304.0,1,1,1,1,135920406079.85,0.82,0.9,0.84,0.9655,39,9,81.25,60983657728.0,63161604096.0,74511362867.2,,0.94,7.0,3
2026-08-26 10:30:00,SZ399903,中证100,4461.97,0.75,39023468544.0,1,-2,-1,1,243828732403.06,0.81,0.85,0.82,0.9636,79,20,79.8,110475515392.0,114646261760.0,137189072076.8,,0.74,-6.0,0
2026-08-26 10:30:00,SH000300,沪深300,4585.53,0.74,75900259328.0,1,-2,-1,1,475136962780.86,0.83,0.87,0.84,0.9983,238,60,79.87,218634497024.0,219010990080.0,264896987136.0,,0.73,-4.0,0
2026-08-26 10:00:00,SH000906,中证800,5107.6,0.31,248173058048.0,0,-2,-1,1,765539471028.88,0.8,0.8,0.8,0.9447,0,0,0.0,248173058048.0,262702989312.0,308635595571.2,,0.41,-10.0,-1
2026-08-26 10:00:00,SH000016,上证50,2891.38,0.55,38320359424.0,1,1,-1,1,125509825840.5,0.78,0.78,0.78,0.8901,35,14,71.43,38320359424.0,43051929600.0,49435905228.8,,0.69,3.0,3
2026-08-26 10:00:00,SH000300,沪深300,4569.29,0.38,142734237696.0,0,-2,-1,1,454663765888.53,0.8,0.8,0.8,0.9459,222,74,75.0,142734237696.0,150892756992.0,178035572736.0,,0.48,-8.0,-1
2026-08-26 10:00:00,SZ399903,中证100,4447.61,0.42,71452046848.0,0,-2,-1,2,232854053645.19,0.78,0.78,0.78,0.9058,70,28,71.43,71452046848.0,78879531008.0,91511228006.4,,0.52,-10.0,0
2026-08-25 15:00:00,SZ399903,中证100,4428.86,-0.31,27130727168.0,0,-2,-1,2,258300191869.13,0.83,0.74,0.84,0.7984,56,42,57.14,254768614656.0,319094804480.0,307866736435.2,,-0.18,-13.0,0
2026-08-25 15:00:00,SH000906,中证800,5092.05,-0.2,85887523840.0,0,-2,-1,1,813681883589.84,0.8,0.73,0.81,0.8421,0,0,0.0,806695607296.0,957979402240.0,1006409256140.8,,-0.17,-14.0,-1
2026-08-25 15:00:00,SH000300,沪深300,4552.03,-0.24,50816755200.0,0,-2,-1,1,487488416743.83,0.81,0.72,0.82,0.8137,162,130,55.48,480421569536.0,590425579520.0,595006001152.0,,-0.17,-11.0,-1
2026-08-25 15:00:00,SH000016,上证50,2875.51,0.16,13961941888.0,0,1,-1,1,132627854864.79,0.8,0.7,0.79,0.7682,26,22,54.17,134292384384.0,174821702656.0,168523322572.8,,-0.02,0.0,2
2026-08-25 14:30:00,SH000906,中证800,5092.99,-0.18,50983468544.0,0,-2,-1,1,824853026333.0,0.81,0.67,0.82,0.8347,0,0,0.0,720808083456.0,863532285952.0,888795906048.0,,0.35,-16.0,-1
2026-08-25 14:30:00,SH000016,上证50,2873.92,0.11,8482324352.0,0,-2,-1,1,134784953393.73,0.81,0.59,0.8,0.7624,23,24,48.94,120330442496.0,157834730496.0,148520611020.8,,0.22,-1.0,-1
2026-08-25 14:30:00,SZ399903,中证100,4429.12,-0.3,17652372736.0,0,-2,-1,2,262487179484.65,0.84,0.72,0.85,0.7868,54,41,56.84,227637887488.0,289319610368.0,271413127372.8,,0.21,-14.0,0
2026-08-25 14:30:00,SH000300,沪深300,4552.25,-0.24,31589448192.0,0,-2,-1,1,495997002560.31,0.82,0.68,0.83,0.8054,161,129,55.52,429604814336.0,533427388416.0,524324221747.2,,0.22,-12.0,-1
2026-08-25 14:00:00,SZ399903,中证100,4424.71,-0.4,20464625152.0,-2,-2,-1,-1,269321821033.51,0.85,0.92,0.87,0.793,53,44,54.64,209985514752.0,264802271232.0,246859873689.6,,0.26,-16.0,-5
2026-08-25 14:00:00,SH000906,中证800,5086.58,-0.31,59273304064.0,0,-2,-1,1,850214539587.75,0.82,0.86,0.84,0.8451,0,0,0.0,669824614912.0,792630599680.0,812569038028.8,,0.51,-18.0,-1
2026-08-25 14:00:00,SH000300,沪深300,4547.62,-0.34,37091529728.0,0,-2,-1,2,510991153789.34,0.83,0.88,0.86,0.8133,159,131,54.83,398015366144.0,489383890944.0,478047156633.6,,0.31,-14.0,0
2026-08-25 14:00:00,SH000016,上证50,2871.57,0.03,9820293248.0,0,-2,-1,2,140548451025.72,0.83,0.76,0.83,0.7757,27,20,57.45,111848118144.0,144187736064.0,134247987404.8,,0.32,-3.0,0
2026-08-25 13:30:00,SH000906,中证800,5100.96,-0.02,106637394944.0,0,-2,-1,2,848101080149.85,0.82,1.24,0.84,0.8498,0,0,0.0,610551310848.0,718498340864.0,743268370022.4,,0.36,-20.0,0
2026-08-25 13:30:00,SZ399903,中证100,4437.04,-0.12,32482211072.0,0,-2,-1,-1,266612593752.88,0.84,1.18,0.87,0.7933,54,41,56.84,189520889600.0,238895503360.0,224591734579.2,,0.13,-17.0,-3
