time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2026-01-15 10:30:00,SZ399330,深证100,5900.93,-0.42,38199350784.0,-1,-1,-1,-1,267745043959.64,0.81,0.81,0.81,0.8246,947,1882,33.47,120126837248.0,145670733824.0,148161667072.0,,-3
2026-01-15 10:30:00,SH000905,中证500,8185.926,-0.51,87831734272.0,-1,-1,1,-1,631530007703.22,0.92,0.93,0.92,0.8668,219,262,45.53,299851960320.0,345918529536.0,327529688268.8,,-3
2026-01-15 10:30:00,SZ399303,国证2000,10761.868,-1.1,143173675008.0,-1,-1,1,-1,1052799546068.83,0.91,0.93,0.92,0.8981,0,0,0.0,474673078272.0,528526344192.0,521211464908.8,,-3
2026-01-15 10:30:00,SZ399005,中小100,8734.869,-0.14,23587001856.0,-1,-1,1,-1,187408728620.79,0.77,0.72,0.76,0.7704,0,0,0.0,92274812928.0,119781892096.0,119157236121.6,,-3
2026-01-15 10:00:00,SH000852,中证1000,8261.315,0.05,219873886208.0,-1,-1,1,-1,683572255401.57,0.89,0.89,0.89,0.8874,535,432,55.33,219873886208.0,247766302720.0,247498404659.2,,-3
2026-01-15 10:00:00,SH000688,科创50,1495.1,-0.39,24663281152.0,-1,-1,1,-1,77659653495.67,0.74,0.74,0.74,0.7174,235,352,40.03,24663281152.0,34378326016.0,33361097932.8,,-3
2026-01-15 10:00:00,SZ399850,深证50,9257.178,0.22,49613645312.0,-1,-1,-1,-1,166183287845.27,0.78,0.78,0.78,0.8758,29,17,63.04,49613645312.0,56649592832.0,63529074688.0,,-3
2026-01-15 10:00:00,SZ399005,中小100,8810.279,0.73,68687811072.0,1,-1,1,-1,196332953793.21,0.79,0.79,0.79,0.8257,0,0,0.0,68687811072.0,83191750656.0,86482788352.0,,-1
2026-01-15 10:00:00,SH000699,科创200,1502.41,-1.06,27131985920.0,-1,-1,1,-1,86468805768.47,0.83,0.83,0.83,0.9495,0,0,0.0,27131985920.0,28576198656.0,32724604928.0,,-3
2026-01-15 10:00:00,SZ399673,创业50,3506.32,0.1,71657897472.0,-1,-1,1,-1,218172049967.51,0.79,0.79,0.79,0.8958,0,0,0.0,71657897472.0,79993241600.0,90589890150.4,,-3
